control1	control2	control3	moon1	moon2	moon3
6.816739	6.723375	5.831477	5.699871	5.496827	5.499989
10.999154	9.331855	11.117889	11.832176	8.905113	10.583727
9.05787914814815	11.0938327706194	9.22355859134765	10.8861634382197	8.86599301276066	9.23471614410209
14.75139	16.764546	13.2315	14.025581	12.639977	14.926696
6.436014	6.771538	10.04768	4.653797	4.991508	5.501758
1	1.014148	1	1	1	1
12.288405	13.261838	13.706683	12.379254	12.50641	11.292212
7.898928	8.332951	7.662358	7.596711	6.564672	7.128315
3.8807998711357	4.4381490829808	5.12398535209893	3.57930922063131	3.87042379824276	3.81498636804426
4.78615594946279	5.9822935005969	5.36505051770792	4.45644976482292	4.85937985754079	4.65045105133307
1.063245	1.098224	1.150048	1.13572	1.136714	1.136224
1.03729	1.167431	1.042167	1.191319	1.105721	1.275777
6.345246	6.929258	6.871645	6.408551	6.562689	5.690809
3.888832	4.04131	3.468895	3.243275	3.677302	3.326449
1.06816390060381	1.04552589688806	1	1	1.14509219879238	1.09081154110543
1	1	1	1.196227	1	1
1.313353	1.194319	1.23589	1.285791	1.091706	1.192156
17.4596145290888	18.9602827408812	16.0335039175056	16.2837202640868	14.3060431255066	17.2887948722709
16.8409858016484	18.3593632972527	14.842256789011	17.2035208835165	15.3644002818681	16.6314178587912
31.5893663087108	37.6519455142857	30.7944400773519	25.6871446439024	30.0939019261324	33.4371116076655
13.261992	11.291525	11.281167	9.318749	8.629271	8.497867
21.3423579364727	31.4971297698801	24.8831387139049	21.014815778765	24.1722139826744	30.4738852052421
29.430527	31.167685	27.906879	28.398283	28.029436	34.215755
69.001755	70.667542	64.725426	65.180786	65.826607	74.36895
11.5428846339907	11.9588706351508	11.3477590910673	10.6194232325986	10.9883942221578	12.3471739669374
25.722363	28.475958	32.020809	19.420534	19.636715	18.522888
16.9070190379538	17.8239711650165	16.259997169967	14.8735402590759	15.4358901815182	17.5247718762376
19.53067	24.286848	19.300333	20.556047	19.485918	21.313612
4.84477	3.277748	3.88927	3.81829	2.908973	3.71138
1.072491	1.029108	1.060384	1.02497	1.045104	1.049068
14.7871366443084	6.20811381658781	21.79468890231	20.0891986807682	3.6931085065405	4.7240473993877
1	1	1	1	1	1
56.295002	37.563168	25.946722	47.691078	51.679356	41.589001
6.244498	8.479225	4.417346	7.242988	8.885895	9.334634
1.149351	1.074861	1.07297	1.245107	1.103877	1.177142
9.35474976657619	10.4265548259015	7.52441771035285	8.76303028499418	8.08790872896471	11.3016397774331
12.0537210793217	11.8485617527352	10.7937104354486	14.1545857308534	8.58016927078775	10.1160074808534
60.8637522125206	43.0391749719934	55.3426215271829	36.8013060032949	32.8064095222405	34.0352033855025
4.340729	4.493837	4.466629	4.144813	3.524667	4.478562
12.439267	18.551104	16.460556	7.634921	11.20076	11.937728
82.536469	109.290367	82.074844	77.391663	82.172478	107.686478
2.13873670163934	2.04431176721311	2.26818686229508	2.31177790163934	2.17293067540984	1.74998921311475
1	1	1.022607	1	1	1
15.412781	17.012526	10.713317	11.857229	11.335027	15.692958
5.927583	6.938215	7.224421	4.135354	5.839906	4.860399
4.41855533311432	8.53472531865966	5.35806367674113	4.09027701116951	7.19168793495401	7.53389286990802
3.145346	3.33635	2.944946	2.378472	2.626236	3.327057
8.48440662210201	20.3046838848532	9.90086963523957	11.1617003462133	25.0327430355487	37.8583885834621
3.793507	3.947525	2.968796	4.166245	3.640221	3.138082
3.42516	5.22473	4.881816	4.056369	5.30682	3.518072
7.615767	3.86307	12.332665	4.988016	3.038587	2.779478
