h_alta1	h_alta2	h_alta3	h_alta4	h_baja1	h_baja2	h_baja3	h_baja4
38.0409485247879	44.3653603841001	50.0132618861099	40.9196843537293	28.458259319339	32.4772041938365	33.2209748034837	35.8317205797231
4.21809	4.737931	4.854809	3.397125	6.456783	6.361126	7.783284	6.293297
8.390633	8.0465	8.73896	9.042102	9.320779	10.129334	9.011904	9.441089
10.1140763935768	12.122326586272	13.4295800869018	7.52117412531486	19.5613739200252	20.9629243929471	26.4215987449622	23.1319455075567
1	1	1	1	1	1	1	1.08709
65.2922119299506	74.9007475096542	72.0234666241581	77.2319351333633	31.2119601867984	29.7141154297261	31.3549047669511	29.8113065532106
70.6845921489988	75.5905572838634	75.3309978415783	84.6386623286219	66.2512742555948	60.8971683021201	66.588046328033	92.3631946666667
2.5161585487013	1.45721661093074	1.80179596915584	3.4415883517316	2.98117589935065	1.91705694101732	2.67288624134199	4.87077693831169
1.203243	1.24605421697613	1.121972	1.36853717877984	1.70555719575597	1.615513	1.38305212944297	1.55518187904509
1.542474	1.82639050877193	1.89893704561404	1.77450254736842	3.55539288421053	2.35682011403509	4.01966605438597	2.74326918947368
1.05594	1.297795	1.493334	1.333168	1.061084	1.109401	1.215689	1.242621
